순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,송성문,키움,0.344,29,82,93,0.88,4,1.00,3.83,0.177,69.3,0.316
2,김혜성,키움,0.340,34,86,102,0.84,7,1.00,3.88,0.179,67.0,0.311
3,도슨,키움,0.336,44,94,96,0.98,9,0.63,3.64,0.187,67.2,0.311
4,이주형,키움,0.295,20,52,67,0.78,3,0.47,3.82,0.147,42.9,0.282
5,이용규,키움,0.293,5,43,35,1.23,1,0.86,4.00,0.053,24.3,0.272
6,고영우,키움,0.291,9,34,49,0.69,2,0.49,3.97,0.057,23.1,0.251
7,임병욱,키움,0.267,2,9,9,1.00,0,0.20,3.58,0.089,4.9,0.23
8,변상권,키움,0.257,4,27,26,1.04,1,0.31,4.06,0.095,11.3,0.226
9,원성준,키움,0.255,5,8,7,1.14,1,0.19,4.55,0.149,6.5,0.24
10,김건희,키움,0.250,5,22,18,1.22,0,0.20,3.96,0.087,10.2,0.218
11,김재현,키움,0.249,10,63,50,1.26,0,0.20,3.50,0.049,18.1,0.209
12,주성원,키움,0.233,2,12,7,1.71,0,0.29,4.21,0.093,3.7,0.216
13,최주환,키움,0.229,20,69,115,0.60,4,0.41,4.03,0.111,30.8,0.213
14,이원석,키움,0.220,4,19,36,0.53,2,0.78,3.86,0.044,9.8,0.215
15,이재상,키움,0.213,2,15,14,1.07,0,0.07,3.66,0.053,5.0,0.181
16,이형종,키움,0.213,7,21,28,0.75,2,0.72,3.91,0.160,13.8,0.248
16,장재영,키움,0.213,3,8,3,2.67,0,0.31,4.04,0.106,5.5,0.238
18,박수종,키움,0.203,1,20,25,0.80,0,0.83,3.60,0.016,4.4,0.182
19,김동헌,키움,0.200,0,2,2,1.00,0,-,2.86,0.000,0.8,0.243
20,김태진,키움,0.191,3,28,35,0.80,0,0.38,3.23,0.032,4.4,0.16
21,김시앙,키움,0.143,0,3,2,1.50,0,0.00,2.43,0.000,0.0,0.1
22,김주형,키움,0.125,0,5,1,5.00,0,0.13,3.90,0.000,0.8,0.166
22,박성빈,키움,0.125,0,3,2,1.50,0,0.50,2.78,0.000,0.2,0.131
24,임지열,키움,0.102,1,13,16,0.81,0,0.44,4.25,0.061,1.4,0.136
25,김웅빈,키움,0.077,0,1,5,0.20,0,0.50,4.22,0.000,0.8,0.152
26,김병휘,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김선기,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김연주,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김윤하,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,문성현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,박주홍,키움,0.000,0,3,3,1.00,0,0.33,4.20,0.000,-0.5,0.045
26,박준형,키움,0.000,0,1,1,1.00,0,0.00,3.20,0.000,-0.5,0.0
26,송지후,키움,0.000,0,1,0,-,0,-,1.00,0.000,-0.1,0.0
26,신준우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
26,이승원,키움,0.000,0,2,0,-,0,0.00,3.00,0.000,-0.3,0.0
26,주승우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0
