순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,카데나스,삼성,0.400,3,15,15,2,6,2,0,2,14,5,0,0,0,0,0,2,1,0.933,0.400,1.333,2,0.5,0.0
2,강민호,삼성,0.306,92,289,252,33,77,8,1,11,120,48,0,4,27,1,6,33,11,0.476,0.381,0.857,18,0.304,0.235
3,구자욱,삼성,0.305,90,397,351,59,107,26,1,20,195,71,0,4,33,2,9,54,3,0.556,0.375,0.931,30,0.284,0.0
4,김지찬,삼성,0.303,93,350,294,62,89,11,0,3,109,23,8,1,39,1,8,25,3,0.371,0.398,0.769,21,0.246,0.385
5,맥키넌,삼성,0.294,72,315,272,28,80,13,0,4,105,36,0,3,39,3,1,33,6,0.386,0.381,0.767,24,0.27,0.0
6,김헌곤,삼성,0.289,76,197,180,28,52,7,0,8,83,22,1,0,14,0,2,34,3,0.461,0.347,0.808,11,0.286,0.333
7,류지혁,삼성,0.287,60,223,195,30,56,6,1,2,70,31,2,2,20,0,4,48,3,0.359,0.362,0.721,16,0.333,0.5
8,윤정빈,삼성,0.286,31,88,77,10,22,2,0,3,33,11,0,2,7,0,2,22,0,0.429,0.352,0.781,7,0.222,0.25
9,이재현,삼성,0.279,63,264,229,40,64,15,0,9,106,40,0,2,32,1,1,51,3,0.463,0.367,0.830,18,0.359,0.333
10,이병헌,삼성,0.269,67,119,104,5,28,4,0,1,35,6,1,0,12,0,2,37,0,0.337,0.356,0.693,6,0.13,0.333
11,김태훈,삼성,0.267,9,16,15,2,4,1,0,0,5,1,0,0,0,0,1,2,1,0.333,0.313,0.646,1,0.2,0.4
12,이성규,삼성,0.258,89,256,217,40,56,6,1,17,115,44,4,2,22,0,11,69,3,0.530,0.353,0.883,11,0.3,0.235
13,김영웅,삼성,0.258,88,369,326,49,84,12,3,18,156,52,1,3,36,0,3,105,2,0.479,0.334,0.813,21,0.305,0.0
14,김재상,삼성,0.238,35,91,84,13,20,4,0,2,30,12,1,1,5,0,0,23,0,0.357,0.278,0.635,4,0.222,0.25
15,김성윤,삼성,0.222,28,77,63,13,14,2,0,0,16,6,3,2,8,0,1,15,1,0.254,0.311,0.565,3,0.3,0.333
16,안주형,삼성,0.218,44,94,78,15,17,2,0,0,19,4,8,0,7,0,1,18,3,0.244,0.291,0.535,3,0.222,0.0
17,박병호,삼성,0.211,80,257,213,28,45,5,0,9,77,28,0,0,37,0,7,81,12,0.362,0.346,0.708,9,0.19,0.2
18,김재성,삼성,0.200,10,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0.250,0.304,0.554,1,0.333,0.0
19,전병우,삼성,0.193,32,68,57,6,11,3,0,0,14,5,0,1,9,0,1,24,2,0.246,0.309,0.555,1,0.308,0.0
20,김현준,삼성,0.189,36,102,90,14,17,7,1,0,26,6,1,2,7,0,2,27,4,0.289,0.257,0.546,3,0.185,0.4
21,김동엽,삼성,0.182,6,14,11,1,2,1,0,0,3,2,0,1,1,1,1,5,0,0.273,0.286,0.559,1,0.0,0.0
22,김재혁,삼성,0.159,27,49,44,6,7,2,1,0,11,6,0,2,3,0,0,19,2,0.250,0.204,0.454,2,0.095,0.0
23,이창용,삼성,0.154,5,13,13,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0.154,0.154,0.308,0,0.143,0.0
24,김동진,삼성,0.125,26,37,32,5,4,0,0,1,7,2,2,0,3,0,0,7,1,0.219,0.200,0.419,0,0.333,0.25
25,강한울,삼성,0.095,18,25,21,1,2,0,0,0,2,1,3,1,0,0,0,6,1,0.095,0.091,0.186,0,0.167,0.0
26,공민규,삼성,0.077,11,16,13,1,1,0,0,1,4,2,0,0,1,0,2,8,1,0.308,0.250,0.558,0,0.0,0.0
27,김호진,삼성,0.074,23,30,27,3,2,0,0,0,2,3,0,1,1,0,1,10,1,0.074,0.133,0.207,0,0.125,0.0
28,김대우,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,김재윤,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,김태훈,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,류승민,삼성,0.000,5,3,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0.000,0.667,0.667,0,0.0,0.0
28,양우현,삼성,0.000,4,13,11,0,0,0,0,0,0,1,1,0,1,0,0,5,1,0.000,0.083,0.083,0,0.0,0.0
28,오승환,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,육선엽,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,이상민,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
28,최지광,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
