순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,유강남,롯데,포수,50,324.2,0.608,6.54
2,최항,롯데,2루수,37,204.1,0.47,5.06
3,신윤후,롯데,우익수,12,60.0,0.448,4.82
4,황성빈,롯데,좌익수,29,133.0,0.408,4.39
5,노진혁,롯데,3루수,13,80.0,0.22,2.37
6,김동혁,롯데,중견수,19,42.0,0.2,2.15
7,정보근,롯데,포수,43,209.1,0.119,1.28
8,최항,롯데,3루수,7,28.0,0.118,1.26
9,장두성,롯데,중견수,6,16.0,0.086,0.92
10,정대선,롯데,2루수,2,4.0,0.082,0.88
11,손성빈,롯데,포수,43,208.0,0.08,0.86
12,장두성,롯데,우익수,8,12.2,0.069,0.75
13,이주찬,롯데,유격수,3,5.0,0.062,0.67
14,손호영,롯데,2루수,18,108.1,0.059,0.64
14,오선진,롯데,3루수,14,41.2,0.059,0.64
16,김민성,롯데,2루수,3,12.0,0.057,0.61
17,김민석,롯데,좌익수,19,122.0,0.045,0.48
18,황성빈,롯데,우익수,2,4.0,0.036,0.38
19,오선진,롯데,유격수,1,2.0,0.03,0.32
20,고승민,롯데,우익수,6,31.0,0.023,0.25
21,박승욱,롯데,2루수,18,54.0,0.021,0.23
22,레이예스,롯데,중견수,1,2.0,0.02,0.22
23,오선진,롯데,2루수,4,17.0,0.01,0.11
24,이학주,롯데,3루수,3,5.2,0.001,0.01
25,정훈,롯데,좌익수,1,2.0,-0.001,-0.01
26,고승민,롯데,좌익수,13,86.0,-0.003,-0.04
27,김동혁,롯데,우익수,4,7.2,-0.012,-0.12
28,김민성,롯데,3루수,29,162.1,-0.016,-0.17
29,윤동희,롯데,중견수,47,375.0,-0.021,-0.22
30,이호준,롯데,2루수,1,2.0,-0.035,-0.38
31,고승민,롯데,1루수,5,11.0,-0.052,-0.56
32,장두성,롯데,좌익수,5,15.0,-0.054,-0.58
33,서동욱,롯데,포수,11,35.0,-0.065,-0.69
33,노진혁,롯데,유격수,15,80.2,-0.065,-0.7
35,김민석,롯데,중견수,3,23.1,-0.075,-0.81
36,고승민,롯데,2루수,48,374.1,-0.079,-0.85
37,정훈,롯데,3루수,12,67.1,-0.093,-1.0
38,최항,롯데,1루수,9,19.1,-0.098,-1.05
39,박승욱,롯데,유격수,58,410.0,-0.101,-1.09
40,노진혁,롯데,1루수,4,19.0,-0.172,-1.85
41,레이예스,롯데,우익수,43,351.2,-0.174,-1.87
42,전준우,롯데,좌익수,20,167.1,-0.203,-2.18
43,손호영,롯데,유격수,6,39.0,-0.266,-2.86
44,한동희,롯데,3루수,6,32.1,-0.299,-3.22
45,정훈,롯데,1루수,30,234.0,-0.315,-3.39
46,손호영,롯데,3루수,27,189.2,-0.342,-3.68
47,박승욱,롯데,3루수,27,123.2,-0.353,-3.8
48,레이예스,롯데,좌익수,32,249.2,-0.378,-4.07
49,윤동희,롯데,우익수,38,310.0,-0.429,-4.62
50,황성빈,롯데,중견수,43,315.0,-0.453,-4.88
51,이학주,롯데,유격수,40,238.1,-0.494,-5.31
52,이주찬,롯데,3루수,10,46.1,-0.536,-5.77
53,나승엽,롯데,1루수,60,493.2,-0.706,-7.6
61,정훈,롯데,2루수,1,1.0,nan,nan
61,강성우,롯데,유격수,1,1.0,nan,nan
61,신윤후,롯데,중견수,1,1.0,nan,nan
61,추재현,롯데,좌익수,1,2.0,nan,nan
61,이선우,롯데,중견수,2,2.2,nan,nan
61,김원중,롯데,투수,32,37.0,nan,nan
61,이호준,롯데,유격수,1,1.0,nan,nan
